City,Temperature,Humidity,Condition
New York,22°C,60%,Sunny
Delhi,30.05,30,haze
Delhi,30.05,30,haze
Delhi,30.05,30,haze
Delhi,30.05,30,haze
Delhi,30.05,30,haze
Delhi,30.05,30,haze
Delhi,29.05,28,haze
